brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
52969.0,for_sale,154900.0,2.0,2.0,0.12,1332283.0,Austin,Minnesota,55912.0,2432.0,2015-03-17
79223.0,for_sale,232300.0,3.0,3.0,0.31,568617.0,Austin,Minnesota,55912.0,2100.0,2003-12-05
79223.0,for_sale,294900.0,4.0,2.0,0.47,487459.0,Austin,Minnesota,55912.0,2224.0,2015-05-22
107475.0,for_sale,184999.0,3.0,2.0,0.13,1677785.0,Austin,Minnesota,55912.0,2082.0,2022-02-11
34713.0,for_sale,129900.0,2.0,2.0,0.14,340516.0,Austin,Minnesota,55912.0,1172.0,2017-05-17
31368.0,for_sale,195000.0,5.0,3.0,0.16,1332282.0,Austin,Minnesota,55912.0,2694.0,2011-10-12
70238.0,for_sale,79000.0,4.0,3.0,0.16,1151817.0,Bricelyn,Minnesota,56014.0,2586.0,2022-04-22
19439.0,for_sale,92900.0,2.0,1.0,0.12,283526.0,Albert Lea,Minnesota,56007.0,1440.0,2017-06-26
33596.0,for_sale,65000.0,3.0,2.0,5.0,472078.0,Granada,Minnesota,56039.0,1728.0,1993-10-07
19439.0,for_sale,134900.0,4.0,2.0,0.26,1337930.0,Glenville,Minnesota,56036.0,2688.0,2015-06-05
86523.0,for_sale,99900.0,2.0,1.0,0.13,208221.0,Albert Lea,Minnesota,56007.0,1836.0,2005-01-07
107652.0,for_sale,650000.0,4.0,3.0,55.98,190873.0,Emmons,Minnesota,56029.0,3148.0,2002-09-12
33597.0,for_sale,250000.0,3.0,2.0,0.23,581423.0,Alden,Minnesota,56009.0,2100.0,1999-02-18
95597.0,for_sale,174900.0,3.0,2.0,0.27,1714531.0,Wells,Minnesota,56097.0,2424.0,2019-07-09
33664.0,for_sale,319900.0,3.0,2.0,0.48,1240699.0,Wells,Minnesota,56097.0,4222.0,2019-08-29
1864.0,for_sale,161000.0,3.0,2.0,0.19,248830.0,Wells,Minnesota,56097.0,2144.0,1994-11-21
52969.0,for_sale,149900.0,3.0,2.0,0.3,1109267.0,Wells,Minnesota,56097.0,2592.0,2021-05-06
23225.0,for_sale,195000.0,3.0,2.0,0.23,680555.0,Le Roy,Minnesota,55951.0,2632.0,2007-05-31
56544.0,for_sale,115000.0,3.0,2.0,0.12,35350.0,Adams,Minnesota,55909.0,1115.0,2018-09-14
56350.0,for_sale,230000.0,6.0,4.0,0.25,437948.0,Adams,Minnesota,55909.0,2114.0,2019-01-04
33664.0,for_sale,305000.0,3.0,3.0,0.25,683850.0,Grand Meadow,Minnesota,55936.0,2296.0,2017-02-16
36536.0,for_sale,159900.0,3.0,1.0,0.16,928208.0,Ostrander,Minnesota,55961.0,1782.0,2006-01-13
54917.0,for_sale,135000.0,4.0,2.0,0.19,566258.0,Austin,Minnesota,55912.0,1378.0,2021-08-27
33714.0,for_sale,210000.0,4.0,2.0,0.32,1188599.0,Spring Valley,Minnesota,55975.0,2465.0,2000-09-01
52969.0,for_sale,159900.0,2.0,2.0,0.27,684195.0,Spring Valley,Minnesota,55975.0,2188.0,2020-12-10
77058.0,for_sale,225000.0,4.0,2.0,0.35,1364329.0,Spring Valley,Minnesota,55975.0,4321.0,2021-12-10
43551.0,for_sale,159900.0,3.0,2.0,0.19,1333101.0,Spring Valley,Minnesota,55975.0,1968.0,2007-07-23
57566.0,for_sale,289900.0,4.0,4.0,0.29,143404.0,Albert Lea,Minnesota,56007.0,2599.0,2020-04-06
19439.0,for_sale,205000.0,4.0,2.0,0.23,392165.0,Albert Lea,Minnesota,56007.0,2652.0,2008-05-15
79223.0,for_sale,119900.0,3.0,2.0,0.11,1347475.0,Albert Lea,Minnesota,56007.0,2209.0,2018-06-29
33714.0,for_sale,181900.0,3.0,2.0,0.28,19875.0,Albert Lea,Minnesota,56007.0,2454.0,2002-01-18
52969.0,for_sale,188500.0,5.0,4.0,0.34,1585969.0,Albert Lea,Minnesota,56007.0,4400.0,2008-02-14
19439.0,for_sale,89000.0,1.0,1.0,0.09,1773110.0,Albert Lea,Minnesota,56007.0,753.0,2016-10-03
19439.0,for_sale,449900.0,3.0,3.0,0.35,948887.0,Albert Lea,Minnesota,56007.0,2364.0,2020-04-17
19439.0,for_sale,94900.0,2.0,1.0,0.07,533099.0,Albert Lea,Minnesota,56007.0,1163.0,2018-12-10
56544.0,for_sale,142000.0,3.0,1.0,0.27,150959.0,Grand Meadow,Minnesota,55936.0,2080.0,2019-07-10
94443.0,for_sale,99900.0,3.0,2.0,0.34,66185.0,Rose Creek,Minnesota,55970.0,1824.0,2005-04-04
52969.0,for_sale,144900.0,3.0,1.0,16.08,785006.0,Brownsdale,Minnesota,55918.0,1128.0,2018-06-07
36536.0,for_sale,130000.0,4.0,2.0,0.18,1357916.0,Spring Valley,Minnesota,55975.0,1768.0,2020-09-15
33714.0,for_sale,204900.0,4.0,2.0,0.24,872483.0,Dexter,Minnesota,55926.0,2064.0,2018-07-27
79221.0,for_sale,119900.0,3.0,2.0,0.23,1367710.0,Spring Valley,Minnesota,55975.0,2156.0,1997-10-23
77058.0,for_sale,125000.0,3.0,2.0,0.37,1482128.0,Spring Valley,Minnesota,55975.0,2180.0,1997-07-08
31368.0,for_sale,209000.0,4.0,2.0,0.23,1186161.0,Spring Valley,Minnesota,55975.0,1968.0,2019-06-12
