price,bed,bath,acre_lot,city,house_size
125000.0,2.0,1.0,0.2,Fairmont,1800.0
139900.0,2.0,1.0,0.17,Fairmont,2294.0
123900.0,2.0,1.0,0.11,Fairmont,1580.0
164900.0,3.0,2.0,0.11,Fairmont,1920.0
369000.0,3.0,2.0,0.41,Fairmont,2656.0
139900.0,3.0,2.0,0.22,Fairmont,3000.0
215300.0,4.0,3.0,0.32,Welcome,3432.0
84900.0,3.0,1.0,0.13,Fairmont,1580.0
150000.0,4.0,2.0,0.32,Fairmont,2506.0
112500.0,3.0,2.0,0.12,Fairmont,2253.0
147900.0,3.0,3.0,0.2,Fairmont,2160.0
75000.0,3.0,1.0,0.31,Ceylon,2676.0
79900.0,3.0,1.0,0.15,Fairmont,1535.0
54900.0,3.0,1.0,0.3,Dunnell,2198.0
21900.0,3.0,1.0,0.18,Dunnell,1081.0
599900.0,3.0,2.0,0.24,Fairmont,3364.0
355000.0,3.0,3.0,0.31,Fairmont,3162.0
285000.0,4.0,2.0,0.25,Fairmont,3186.0
72500.0,2.0,2.0,0.19,Jackson,2488.0
179900.0,3.0,2.0,0.26,Sherburn,2878.0
155000.0,3.0,2.0,0.18,Jackson,2124.0
65000.0,3.0,1.0,0.46,Jackson,1182.0
139900.0,4.0,2.0,0.23,Northrop,2476.0
110000.0,3.0,1.0,0.19,Winnebago,3037.0
124900.0,3.0,2.0,0.2,Winnebago,2265.0
94900.0,4.0,3.0,0.3,Winnebago,2464.0
99000.0,4.0,3.0,0.23,Bigelow,3936.0
79200.0,2.0,1.0,0.03,Luverne,909.0
138000.0,4.0,1.0,0.12,Luverne,1526.0
216000.0,3.0,2.0,0.33,Hills,1230.0
62000.0,3.0,2.0,0.31,Hills,1250.0
149500.0,2.0,3.0,0.24,Ellsworth,2196.0
109000.0,3.0,2.0,0.15,Luverne,1362.0
139900.0,5.0,3.0,0.39,Luverne,2400.0
325000.0,4.0,3.0,0.31,Luverne,2911.0
259900.0,4.0,2.0,0.28,Luverne,2860.0
189500.0,3.0,1.0,0.16,Worthington,2088.0
345000.0,4.0,3.0,0.22,Worthington,2450.0
229900.0,3.0,2.0,0.18,Worthington,1700.0
189000.0,3.0,2.0,0.17,Worthington,1887.0
359000.0,3.0,4.0,0.22,Worthington,3216.0
429500.0,3.0,2.0,0.21,Brewster,3392.0
139500.0,2.0,1.0,0.11,Worthington,1344.0
279000.0,3.0,2.0,0.24,Worthington,2060.0
219900.0,3.0,1.0,0.16,Brewster,2576.0
120000.0,3.0,3.0,0.12,Lakefield,3220.0
218000.0,3.0,3.0,0.19,Lakefield,3680.0
119900.0,2.0,1.0,0.21,Jackson,1816.0
169900.0,2.0,1.0,0.17,Worthington,1456.0
154500.0,3.0,2.0,0.36,Worthington,1920.0
159900.0,3.0,1.0,0.22,Adrian,1302.0
259900.0,3.0,3.0,0.25,Worthington,1273.0
429500.0,3.0,3.0,0.33,Worthington,2941.0
189900.0,3.0,2.0,0.16,Worthington,1870.0
129900.0,3.0,2.0,0.12,Jackson,2184.0
99500.0,3.0,1.0,0.13,Jackson,1142.0
99000.0,3.0,2.0,0.13,Jackson,2104.0
149000.0,3.0,1.0,0.27,Brewster,1450.0
237500.0,4.0,2.0,0.53,Fulda,2664.0
190000.0,4.0,2.0,0.23,Fulda,3938.0
209900.0,4.0,2.0,0.2,Fulda,2725.0
165000.0,2.0,3.0,0.22,Mabel,2760.0
169900.0,2.0,2.0,0.39,Caledonia,1768.0
154000.0,2.0,1.0,0.08,Caledonia,1728.0
239900.0,4.0,3.0,0.14,Mabel,2754.0
122000.0,3.0,2.0,0.11,Caledonia,1596.0
198500.0,3.0,2.0,0.22,Caledonia,2620.0
214900.0,3.0,2.0,0.13,Caledonia,1984.0
194900.0,3.0,2.0,0.18,Harmony,2600.0
169900.0,2.0,1.0,0.21,Preston,2176.0
239500.0,4.0,2.0,0.25,Caledonia,3194.0
189900.0,4.0,2.0,0.34,Mabel,3418.0
325000.0,3.0,2.0,0.29,Lindstrom,1752.0
249900.0,4.0,2.0,0.28,Taylors Falls,2442.0
253500.0,3.0,2.0,0.29,Shafer,1920.0
250000.0,3.0,1.0,0.24,Chisago City,1920.0
350000.0,3.0,2.0,0.71,Lindstrom,2402.0
384900.0,3.0,3.0,0.39,North Branch,1943.0
299900.0,3.0,2.0,0.3,Lindstrom,1500.0
262500.0,3.0,1.0,0.34,North Branch,1448.0
359900.0,3.0,2.0,0.14,North Branch,1932.0
379900.0,2.0,2.0,0.19,North Branch,1640.0
381900.0,2.0,2.0,0.19,North Branch,1640.0
373900.0,2.0,1.0,0.21,North Branch,1468.0
376900.0,2.0,1.0,0.17,North Branch,1468.0
369900.0,2.0,1.0,0.16,North Branch,1468.0
459800.0,4.0,3.0,0.36,Lindstrom,2489.0
229900.0,2.0,2.0,0.03,Lindstrom,2116.0
339900.0,3.0,2.0,0.47,Lindstrom,2000.0
419000.0,3.0,2.0,0.15,Lindstrom,1965.0
385000.0,3.0,2.0,0.21,North Branch,1675.0
389900.0,2.0,2.0,0.17,Lindstrom,1570.0
190000.0,4.0,2.0,0.23,Lindstrom,1732.0
260000.0,3.0,2.0,0.26,Shafer,1722.0
319000.0,2.0,2.0,0.29,North Branch,1282.0
220000.0,2.0,2.0,0.04,Lindstrom,1978.0
362000.0,2.0,2.0,0.28,North Branch,1305.0
439000.0,3.0,2.0,0.18,North Branch,1965.0
249900.0,3.0,2.0,0.32,North Branch,1448.0
369900.0,4.0,2.0,0.34,Lindstrom,2990.0
320000.0,3.0,2.0,0.29,North Branch,2462.0
400000.0,4.0,3.0,0.33,Lindstrom,3095.0
310000.0,3.0,2.0,0.37,North Branch,2080.0
315000.0,4.0,3.0,0.28,North Branch,2352.0
715000.0,4.0,2.0,0.33,Lindstrom,2877.0
350000.0,3.0,2.0,0.21,North Branch,1772.0
379900.0,2.0,2.0,0.23,North Branch,1640.0
379900.0,3.0,2.0,0.19,North Branch,1778.0
269900.0,3.0,2.0,0.24,Shafer,1803.0
215000.0,3.0,2.0,0.23,Shafer,2112.0
285000.0,3.0,2.0,0.28,North Branch,1980.0
399900.0,3.0,2.0,0.71,Lindstrom,4156.0
229500.0,3.0,2.0,0.29,Lindstrom,1504.0
314900.0,4.0,2.0,0.4,North Branch,2555.0
300000.0,3.0,3.0,0.34,North Branch,2612.0
280000.0,5.0,3.0,0.5,Shafer,2365.0
254900.0,3.0,2.0,0.23,Lindstrom,2078.0
265000.0,4.0,2.0,0.44,North Branch,2151.0
262500.0,3.0,2.0,0.45,Lindstrom,1872.0
649900.0,4.0,2.0,0.38,Lindstrom,2247.0
494900.0,4.0,3.0,0.5,Center City,2781.0
325000.0,3.0,2.0,0.28,North Branch,1921.0
359900.0,4.0,3.0,0.64,North Branch,2026.0
365900.0,4.0,2.0,0.48,North Branch,2230.0
379900.0,3.0,2.0,0.18,North Branch,2224.0
450000.0,2.0,2.0,0.08,Center City,1600.0
235000.0,2.0,2.0,0.22,Saint Paul,2240.0
299900.0,3.0,2.0,0.26,Saint Paul,2929.0
289900.0,4.0,2.0,0.28,Maplewood,1976.0
350000.0,4.0,2.0,0.38,Oakdale,1997.0
289900.0,4.0,2.0,0.16,South Saint Paul,2530.0
309000.0,3.0,2.0,0.22,Saint Paul,2056.0
280000.0,2.0,3.0,0.03,Mahtomedi,2010.0
239900.0,2.0,2.0,0.15,Woodbury,1530.0
495000.0,2.0,1.0,0.03,Saint Paul,1562.0
360000.0,4.0,2.0,0.26,Oakdale,1788.0
369900.0,4.0,2.0,0.38,Oakdale,2178.0
389900.0,3.0,2.0,0.17,Stillwater,2200.0
280000.0,3.0,2.0,0.09,Woodbury,1527.0
285000.0,4.0,2.0,0.15,South Saint Paul,1976.0
435000.0,3.0,2.0,0.36,Stillwater,2010.0
549000.0,3.0,4.0,0.34,Lake Elmo,3052.0
286000.0,4.0,2.0,0.14,Saint Paul,2164.0
550000.0,5.0,4.0,0.35,Stillwater,4242.0
349900.0,4.0,2.0,0.22,Cottage Grove,1999.0
375000.0,3.0,2.0,0.23,Woodbury,2208.0
469000.0,4.0,3.0,0.29,Woodbury,2744.0
569900.0,3.0,3.0,0.11,Woodbury,3190.0
599900.0,5.0,4.0,0.11,Willernie,3114.0
474999.0,3.0,3.0,0.18,Woodbury,3412.0
509900.0,4.0,4.0,0.26,Stillwater,3080.0
638914.0,3.0,3.0,0.3,Stillwater,2340.0
781700.0,4.0,3.0,0.27,Stillwater,2589.0
340000.0,3.0,2.0,0.36,North Saint Paul,2085.0
189900.0,4.0,2.0,0.11,Saint Paul,1100.0
650090.0,3.0,3.0,0.24,Woodbury,3880.0
662235.0,4.0,4.0,0.23,Woodbury,4312.0
259900.0,4.0,2.0,0.34,Saint Paul,1122.0
278500.0,3.0,2.0,0.31,Oakdale,1988.0
124900.0,2.0,1.0,0.11,Saint Paul,1793.0
200000.0,3.0,2.0,0.26,Saint Paul,1350.0
175000.0,3.0,2.0,0.08,Saint Paul,2250.0
400000.0,2.0,2.0,0.34,Stillwater,2104.0
445000.0,3.0,3.0,0.06,Woodbury,1945.0
731081.0,4.0,3.0,0.23,Stillwater,2061.0
159900.0,4.0,2.0,0.11,Saint Paul,1440.0
199900.0,3.0,2.0,0.11,Saint Paul,2016.0
683674.0,2.0,3.0,0.19,Woodbury,3412.0
275000.0,3.0,1.0,0.12,Saint Paul,2128.0
251000.0,3.0,1.0,0.17,South Saint Paul,1920.0
215000.0,3.0,2.0,0.06,Saint Paul,1772.0
189900.0,2.0,1.0,0.11,Saint Paul,1542.0
168500.0,3.0,2.0,0.11,Saint Paul,1742.0
385900.0,2.0,2.0,0.04,Saint Paul,1371.0
549900.0,3.0,3.0,0.36,Lake Elmo,3568.0
575000.0,2.0,2.0,0.04,Saint Paul,1816.0
709900.0,3.0,3.0,0.2,Lake Elmo,3294.0
519900.0,3.0,3.0,0.19,Woodbury,2152.0
493200.0,5.0,4.0,0.2,Woodbury,3451.0
225000.0,3.0,1.0,0.33,White Bear Lake,1728.0
339000.0,4.0,2.0,0.3,Oakdale,1920.0
300000.0,3.0,2.0,0.16,Saint Paul,2233.0
299900.0,5.0,2.0,0.11,Saint Paul,2076.0
889948.0,3.0,3.0,0.15,Lake Elmo,3714.0
766725.0,3.0,3.0,0.27,Woodbury,3336.0
340000.0,2.0,2.0,0.05,Woodbury,2100.0
614900.0,4.0,3.0,0.2,Lake Elmo,3350.0
212000.0,3.0,3.0,0.12,South Saint Paul,1430.0
274900.0,2.0,2.0,0.03,North Saint Paul,1350.0
525000.0,4.0,4.0,0.51,Oakdale,3698.0
420000.0,5.0,4.0,0.27,Oakdale,3287.0
359950.0,3.0,2.0,0.37,South Saint Paul,1976.0
525000.0,4.0,3.0,0.68,Mahtomedi,3328.0
387000.0,3.0,2.0,0.26,Oakdale,1935.0
279900.0,3.0,1.0,0.2,Maplewood,1100.0
659900.0,3.0,3.0,0.24,Woodbury,3450.0
599990.0,4.0,3.0,0.14,Newport,3191.0
199900.0,3.0,1.0,0.11,Saint Paul,1996.0
294700.0,2.0,1.0,0.41,Lakeland,1991.0
217700.0,3.0,1.0,0.11,Saint Paul,1828.0
279900.0,3.0,2.0,0.27,North Saint Paul,1784.0
157000.0,3.0,2.0,0.06,Saint Paul,1606.0
340000.0,3.0,2.0,0.37,Cottage Grove,2000.0
382000.0,4.0,2.0,0.34,Maplewood,2082.0
359777.0,4.0,3.0,0.26,Cottage Grove,2936.0
480000.0,4.0,4.0,0.27,Woodbury,2956.0
535000.0,5.0,4.0,0.33,Cottage Grove,3343.0
649990.0,3.0,3.0,0.17,Newport,2949.0
392000.0,4.0,2.0,0.22,Cottage Grove,2111.0
359900.0,4.0,2.0,0.32,White Bear Lake,1920.0
799900.0,4.0,3.0,0.31,Lake Elmo,3622.0
825000.0,4.0,3.0,0.4,Mahtomedi,3524.0
275000.0,3.0,2.0,0.11,Saint Paul,1946.0
267000.0,3.0,2.0,0.21,Newport,1640.0
225000.0,3.0,1.0,0.12,Saint Paul,1884.0
250000.0,3.0,3.0,0.16,Saint Paul,2472.0
259900.0,3.0,2.0,0.11,South Saint Paul,1324.0
307000.0,2.0,3.0,0.12,Saint Paul,2016.0
270000.0,3.0,1.0,0.15,Saint Paul,1322.0
314900.0,3.0,2.0,0.23,Maplewood,1998.0
520000.0,5.0,4.0,0.43,Woodbury,3416.0
